	cause	effect
425	assembly,Hague,content,grant,weekday,mediation,happening,originate,philippines,china,detail,disagreement,south,china,body_of_water,appear-48.1.1	statement
426	assembly,power,south,china,body_of_water,disagreement,beijing,paper	concept
427	gathering,Foreign,clergyman,Wang,loloish,equivalent,associate,alliance,bespeak,relation,withstand,disorder,foreign_policy	association,communiqu,,�,�,,statement,content
428	completing,boundary,pacific,RIMPAC,effort,natural_object,military_action,activity,grasping,binary_compound,land,Southern,california,meet-36.3-1,appear-48.1.1,escape-51.1-1	time_unit,PLA,military_service,taskforce,jewel,port,weekday
429	disagreement,Diaoyu,land,cardinal_compass_point,china,body_of_water	protest,telephone,objection,china,japan,abstraction
430	happening,may	legal_action,harmony,information,merchandise,Hong,Kong,polity
431	corporate_executive,Rodrigo,Duterte,time_period,paper,beijing,excavation,lipid,expedition,transaction,involve,state_of_matter,lipid,appear-48.1.1	statement
432	association,clergyman,gathering,vientiane,laos,entertainment,region,want-32.1,activity,steadiness,economic_condition	communiqu,,�,�,,issued,weekday
433	interest,assuming_position-50,emergence,property,insufficiency,tract,safety,may	region,indefinite_quantity,expectation,challenge,group_action
434	boundary,military_action	pause,flash,discussion,china,vietnam,neckwear,time_period
435	common_fraction,time_unit,cardinal_compass_point,asia,degree,keep-15.2,vientiane,build-26.1-1,say-37.7-1	official
436	perceives,telephone,state,steering,action,united_states,plan_of_action,draft,china,power,location,continue-55.3,practice	Donald,playing_card,management
437	Duterte,attend,meeting,dynasty,indicate-78,tape-22.4,other_cos-45.4	relation
438	Arbitral,assembly,appoint,wave,assembly,mediation,Hague,weekday,concept,kindness,philippines,south,china,body_of_water,mediation,happening,record,land,political_unit,china	psychological_feature,socialism,meeting,grasping
439	authority,conclude,outgo,<empty>,bring-11.3-1,outgo,payment,correspond-36.1-1,appoint-29.1,appear-48.1.1	person,playing_card,assertion,china,plan_of_action,rock,china,united_states,neckwear,mount,property,electronic_equipment
440	time_period,interruption,merchandise,weekday,day	day,clergyman,gathering,social_group,conversation,summary,gregorian_calendar_month
441	Arbitral,assembly,appoint,wave,assembly,mediation,Hague,announce,weekday,china,heading,south,china,body_of_water	section,whitepaper,merchandise
442	japan,appear-48.1.1,<empty>,<empty>,commodity,lipid,commodity,commodity,binary_compound,indicate-78-1	state,steering,flight,south,china,body_of_water,defense,japan,activity,interest,disagreement
443	situation,appear-48.1.1	stupefaction,china,happening,opinion,orientation
444	judgment,assembly,happening,south,china,body_of_water,component,china,continue-55.3,decide,disagreement,discussion,conference,administrative_district,foundation,respecting,information,agreement,collection	polity,message,content
445	escape-51.1-1,binary_compound,china,Nasha,land,approval,advise-37.9-1	escort,rocket,warship,united_states,Mustin
446	assembly,need,power,happening	disagreement,mediation,unskilled_person,management,corporate_executive,Benigno,Aquino,digit,gregorian_calendar_month,criticize,collection,person,intellectual,natural_object
447	action,place_of_business,gregorian_calendar_month,instrumentality,statement,political_unit,clue,Duterte,meeting,gregorian_calendar_month	diplomat,high_status
448	appeal-31.4-3,extend,boundary,iraq,syria,become	united_states,happening,location
449	sail,military_service,military_vehicle,metric_linear_unit,albion,piece_of_cloth,china,Xisha,land,south,china,body_of_water,united_kingdom,assertion,state,steering,action,lever,objection,china,violating,self-government,run-51.3.2,appear-48.1.1	pair,time_period
450	gathering,assets,Foreign,clergyman,Wang,loloish,equivalent,associate,organization,compass_point,political_unit	message,content
451	put-9.1-2,build-26.1-1,activity	representation,evaluation,maneuver
452	characterize-29.2-1,region,curiosity	component,importance,property
453	pocket-9.10,ill_health,neckwear,<empty>	time_period,Obama,management,evaluation,strain,beijing,washington,south,china,body_of_water
454	implement,rebalancing,asia,pacific,plan_of_action,<empty>,amuse-31.1,internationalize	maritime,disagreement,content,china,association,United,administrative_district,disagreement
455	corporate_executive,large_integer,Jinping,western_malayo-polynesian,corporate_executive,Rodrigo,Duterte,reaffirmed,<empty>,solve,south,china,body_of_water,content,talk,discussion,weekday,Duterte,attend,loop,way,meeting,socialism,group_action,beijing	gathering,time_unit
456	natural_object,military_action,digit,contact,china,improvement	happening,japan,improvement
457	united_states,commerce,negotiator,propose,proportion,indirect_tax,run-51.3.2,appear-48.1.1	time_unit
458	united_states,confine-92-1,craft,traveler,united_states,Theodore,roosevelt,south,china,body_of_water,appear-48.1.1	information,time_period
459	corporate_executive,Rodrigo,Duterte,option,appointment,gregorian_calendar_month,indicate-78-1-1	western_malayo-polynesian,legislature,Jose,santiago_de_los_caballeros,Chito,santa_claus,Romana,diplomat,china,weekday
460	future_having-13.3,run-51.3.2,military_action,china,content,intellectual,say-37.7-1,weekday,<empty>,admire-31.2	philippines,United,administrative_district,trait,south,china,body_of_water,disagreement
461	consume-66,Bashi,transmission,Miyako,channel	PLA,gas,influence,activity,battle,gas,detachment,south,china,body_of_water,activity,activity,effort
462	united_states,cognition,china,instrumentality,decide	quality
463	china,become,natural_object,system,time_period	united_states,management,Barack,Obama,embark,rebalancing,asia,plan_of_action
464	quality,happening,cope-83-1-1,pca,amount,happening,transaction	socialism,assembly,natural_virtue,wave,assembly,mediation
465	assets,philippines,political_unit	questioning,gully,basic_cognitive_process,gathering
466	disagreement,south,china,body_of_water	self-government,boundary
467	contact,united_states,marcher,Asiahas,order,steadiness	rational_motive,Duterte,spacing,political_unit,united_states,coalition
468	nonaccomplishment,instrumentality,statement,mixture,discussion,appear-48.1.1	rational_motive,achieve,day
469	fit-54.3,curiosity,United,administrative_district,location,make_bold,continue-55.3,build-26.1-1,govern	rational_motive,sheet,state,situation,state,china,associate,world_organization,safety,administrative_unit,china,periodic_event,statement,point,accepting,concept
470	Foreign,head,Perfecto,Yasay,weekday,conversation,china,disagreement,beginning,beijing,denial,approve-77,assembly,concept,south,china,body_of_water,appear-48.1.1	statement
471	force,extremity,defeating,military_unit,future_having-13.3,admire-31.2	document,assertion,china,transferred_property,united_states,sound_property
472	concept,say-37.7-1,say-37.7-1	judgment,abortion,predestine,beijing,position,group_action,attitude,administrative_district,happening,gregorian_calendar_month
473	concept,say-37.7-1,say-37.7-1	judgment,abortion,predestine,beijing,position,group_action,attitude,administrative_district,happening,weekday
474	land,occupy,political_unit,admit-65,japan,<empty>,calibratable_cos-45.6-1,collection,future_having-13.3,revise	person,questioning,awareness,assembly,concept,Taiping,land,land,concept,natural_object,representation
475	polity,assurance,rocket,<empty>,consume-66,yemen,<empty>,get-13.5.1	vessel,merchandise
476	time_period,activity,china,association,continue-55.3,admire-31.2-1,relation,other_cos-45.4	state,south,china,body_of_water
477	display,peer-30.3,external_body_part,path,body,discussion	south,china,body_of_water,disagreement
478	encouragement,political_unit,location,United,administrative_district,japan,create,army_unit,alliance,china,involve,exist-47.1-1	south,china,body_of_water,disagreement,china,association,associate,time_period,conceptualization,heating,component,time_period
479	ROK,decide,let,united_states,deploy,station,degree,elevation,region,military_action,instrumentality,dirtiness,escalate,run-51.3.2,other_cos-45.4	finish,Democratic,group,political_system,korea,political_system,korea,seoul,abstraction,washington
480	lack,situation,activity,administrative_district,effort,exclude,activity,statement,Southern,tuna,prickly_pear,mediation,grant,power,acceptability,pregnancy,bespeak,get-13.5.1,admit-65	word,discussion,administrative_district,trait,disagreement,mediation,exclude
481	category,keep-15.2,imply,quality,content,haunting,abstraction,china,japan,south,korea	activity,nailing,clergyman,gathering,time_period
482	political_unit,assets,curiosity,underlie,inequality,code,<empty>	challenge
483	japan,military_action,clergyman,athletic_contest,washington,weekday,united_states,head,administrative_district,military_action	political_unit,merchandise,message
484	political_unit,<empty>,bring-11.3,better,keep-15.2,pace	mobilize,skillfulness,cooperation,body,direction,economic_process
485	head_of_state,metallic_element,Keqiang,reason,meet-36.3-1,cambodia	region,content,telephone,report,merchandise
486	Arbitral,assembly,appoint,wave,assembly,mediation,Hague,concept,weekday,kindness,philippines,south,china,body_of_water,mediation,happening,record,china	time_unit,psychological_feature,socialism,meeting,grasping
487	flexing,contractile_organ,future_having-13.3,document,disagreement,say-37.7-1,Ruan,Zongze,vice,-,president,china,association,socialism,examination,<empty>,appoint-29.1	united_states,military_action,head,statement,trait,south,china,body_of_water,disagreement,negotiation
488	want-32.1,extortion,china,approve-77,concept,confine-92-1	united_states,weapon,vessel,traveler,south,china,body_of_water,enforce,telephone,state,steering,south,china,body_of_water
489	brazil	united_states,bean,businessperson,china
490	Bannon,admission,mixture,land,situation,cooperation,Donald,playing_card,assertion,united_states,<empty>,let_go_of,happening,anger,group,political_system,korea,may	united_states,corporate_executive
491	region,announce,<empty>,decide,disagreement,south,china,body_of_water,talk,escape-51.1-1,admire-31.2,<empty>,better	united_states,vessel,Xisha,land,binary_compound,case,corporate_executive,Rodrigo,Duterte,regular_payment,administrative_district,meeting,china,person,beijing,paper,abstraction
492	official,collection,time_period,water_travel,south,pacific,experiment,steering,quality,instrumentality	tube,language_unit
493	beijing,decision_making,gregorian_calendar_month,mediation,judgment,happening,bring-11.3-1,philippines,disagreement,china,meet-36.3-1,appear-48.1.1	strain,south,china,body_of_water
494	japan,safety,civil_law,run-51.3.2,phenomenon,gregorian_calendar_month,meet-36.3-1,telephone,topographic_point,state,time_period,happening,region,self-government,curiosity	material
495	large_integer,playing_card,gathering	possibility,control,region,interpretation,maintain,action
496	want-32.1,payment,beijing,accompany-51.7,consider-29.9-2	paper,blessing,south,china,body_of_water,point,distancing,washington,safety,coalition,united_states
497	clergyman,gathering,grant,Hague,assembly,happening,originate,philippines,china,let,admire-31.2,pocket-9.10,contiguous_location-47.8	device,information,alliance,decision_making,digit,message,remark,message
498	judgment,mediation	rational_motive,china
499	cognitive_state,telephone,state,steering,act,united_states,military_vehicle,linear_unit,Nansha,land,china,approval,origin,safety,interest,china,<empty>,<empty>,run-51.3.2	mishap,vital_principle,note,knowing,force,china,united_states,due_process,psychological_feature,gas,body_of_water,fight
500	political_unit,run-51.3.2,south,china,body_of_water,content,amalgamate-22.2-2	denying,telephone,protest,western_malayo-polynesian,united_states,mediation,happening
501	beijing,adult,loop,way,meeting,socialism,group_action,declare-29.4-1-1,association,high_status,china,negotiation	action,chemical_phenomenon,china,associate,alliance,activity,time_unit
502	security_interest,other_cos-45.4,other_cos-45.4,group_action,say-37.7-1,attach,value,status,relationship,property,chemical_phenomenon,word,improvement	group_action,transaction,disagreement
503	procedure	exaggerate,south,china,body_of_water,content
504	number,clergyman,Tony,Abbott,ignore,united_states,informing,gregorian_calendar_month,connection,structure,finance,slope	mail,interest
505	grant,build-26.1-1,mediation,happening,originate,philippines,appear-48.1.1,escalate	case,disagreement,south,china,body_of_water
506	china,disagreement,india,quarrel,japan,Diaoyu,land,cardinal_compass_point,china,body_of_water,<empty>	anticipation,china,coalition,furnace,natural_object,political_unit,system
507	piece_of_cloth,cardinal_compass_point,china,south,china,body_of_water,harmony,document,western_malayo-polynesian,body_of_water	pacific
508	seoul,let,washington,deploy,station,degree,elevation,region,military_action,instrumentality,ROK,dirtiness,beijing,amalgamate-22.2-3,convert-26.6.2,convert-26.6.2	situation
509	system,exist-47.1-1,commerce,china,musical_performance,duty,boosting,system	
510	self-government,assembly,creating_by_mental_acts,lodge-46,disagreement	
511	japan,utmost,difficulty,china,person,south,china,body_of_water,appear-48.1.1	information,temporal_arrangement,charge
512	adhere,amount,written_agreement,appear-48.1.1	United,administrative_district
513	adhere,amount,written_agreement,appear-48.1.1	United,administrative_district
514	walk,plate_glass,relation,corporate_executive,large_integer,Jinping,put-9.1-2	negative_stimulus
515	politician,playing_card,ending,head,administrative_district,hillary,clinton,united_states,vote	questioning,group,cognition,time_unit
516		
517	appear-48.1.1,paper,beijing,journey,clarify,say-37.7-1	Duterte,state,plan_of_action
518	want-32.1,declare-29.4-1-1-2	educational_institution,activity,area,cardinal_compass_point,soviet_union,gregorian_calendar_month,operation,Goldstein,property,china,examination
519	danger,north,korea,must,decide	statement
520	past,emergence,quality,tend,payment,encouragement,limit-76	entertainment,disposition,force,group_action
521	philippines,activity,unskilled_person,mediation,china,tape-22.4,admire-31.2	beijing,paper
522	polity,advantage,Benigno,Aquino,movement,organization,compulsory,due_process,china,tape-22.4,become	political_unit,deadlocke
523	reproductive_structure,fruit,sown,future_having-13.3,conjecture-29.5-1	heading,playing_card
524	south,china,body_of_water,content,put-9.1-2,experiment,continue-55.3,keep-15.2,necessitate	force,action,Turnbull
525	forbid-67,pyongyang,education,rocket,application,become,job_action,united_states,country,person,say-37.7-1,washington,motorboat,job_action,north_korea,<empty>	situation
526	decadelong,mixture,telephone,activity,rate,improvement,asia,europe,activity,say-37.7-1,wish-62,<empty>	extremity,head_of_state,ASEM,Economic,clergyman,gathering,summary,time_period
527	other_cos-45.4,military_action,influence,get-13.5.1	detail,person,japan,external_body_part,military_action,past,entertainment,time_of_life,trait,change_of_integrity,content,asian,land,content,disagreement,cardinal_compass_point,china,body_of_water,citing,defense
528	scholar,Keio,body,excavation,institution,indicate-78-1-1	sinitic,then-25-year,Zhong,Siyao,institution
529	search,maximize,political_unit,indefinite_quantity,physical_phenomenon	tokyo,washington,negative_stimulus,Duterte,realignment,message
530	businessperson,playing_card,content,commerce,vote,race,assurance,legal_document,china,wish-62,calibratable_cos-45.6-1	commerce,conflict
531	legislature,entertainment,property,basic_cognitive_process,CPC,large_integer,change_of_location,vietnam,china,abstraction,say-37.7-1	Trong,information,large_integer,journey
532	concept,say-37.7-1,run-51.3.2,conversation,china	Duterte,backpedaled,hardline,expressive_style,china,beginning,corporate_executive
533	get-13.5.1,united_states,tenure,gregorian_calendar_month,say-37.7-1,united_states,instrumentality,gregorian_calendar_month,china,plan_of_action,discussion	aggravate,china,action,telephone,taiwan,person,Tsai,Ing,cyst
534	force-59-1,meet-36.3-1,number,clergyman,Shinzo,Abe,person,building,build-26.1-1	playing_card,statement,urgency,meeting
535	pentagon,reveal,military_action,plan_of_action,weekday,appear-48.1.1	united_states,military_action,head,Jim,Mattis,journey,asia,drawback,basic_cognitive_process,time_unit
536	urgency,meeting,person,building,washington,D.	united_states,corporate_executive,Donald,playing_card,radioactivity_unit,meeting,number,clergyman,Shinzo,Abe,locomotion,committee,serviceman,depart,andrews,gas,influence,military_installation,line,west,area,geological_formation,florida
537	organization,legislature,beijing,future_having-13.3,journey,ending,commerce,land,content,china,diplomat,washington,weekday,appear-48.1.1	united_states,corporate_executive,Donald,playing_card,administrative_district,meeting,china,point
538	person,legislature,politician,organization,china,wish-62,journey,phenomenon,commerce,asian,land,content,china,diplomat,washington,weekday,appear-48.1.1	united_states,corporate_executive,Donald,playing_card,administrative_district,meeting,china,point
539	production,message,washington,district_of_columbia,gregorian_calendar_month,escape-51.1-1,run-51.3.2	united_states,corporate_executive,Donald,playing_card,accompany,united_states,head,military_action,Jim,Mattis,maneuver,pentagon
540	washington,image_impression-25.1,rome,act,clue,condition,statement,political_unit,future_having-13.3,admire-31.2-1	united_states,enlisted_person,condition
541	corporate_executive,Donald,playing_card,fly,number,clergyman,Malcolm,Turnbull,electronic_equipment,exile,transportation,statement,corporate_executive,Barack,Obama,build-26.1-1,political_unit,bring-11.3,bump-18.4	united_states,australia,abstraction,gregorian_calendar_month
542	political_unit,location,correspond-36.1-1,decide,disagreement,china,talk,peer-30.3	activity,state,steering,action,defense,state,defuse
543	philippines,correspond-36.1-1,china,solve,content	vietnam,dredging,transmission,ridge,south,china,body_of_water,golf_stroke,danger,increase,strain
544	gathering,china,propose,maneuver,discourse,COC	Wang,announce,urgency,informing
545	natural_object,military_action,digit,activity,united_states,polity,china,restore,self-government,Nansha,land,activity,occupy,japan,say-37.7-1	Wang
546	mediation,concept,say-37.7-1,decide	Wang,china,newspaper,weekday,time_period,time_unit,gathering,happening,agreement,china,association,time_period,legal_document,line,disagreement,talk,conference
547	order,steadiness,improvement,message,south,china,body_of_water,consider-29.9-2,conjecture-29.5-1,consume-66	Wang,cyst,academic_administrator,armored_vehicle,Chongyang,association,Financial,examination,Renmin,body,china,safeguarding,self-government,influence
548	desire,assets,assets,occurrence-48.3	military_action,time_interval
549	pay-68,monetary_unit,evaluator,send-11.1	concept,paper,kindness
550	dominate,ridge,put-9.1-2	ridge
551	Brexit,choice,tackling,environmental_condition,happening,exile,situation,discourse,run-51.3.2	conflict,terror,pursuing,commerce,plan,command,create,activity
552	journey,anticipation,<empty>,bring-11.3-1,communication,united_states,characterize-29.2-1,<empty>	head,Mattis,sense_organ,sense_organ,possibility,document,corporate_executive,playing_card
553	day,day,feeling,coincide,adversity,neckwear,wish-62	rational_motive,japan,blow,rest_day
554	content,group_action,order,steadiness,improvement,<empty>,build-26.1-1	
555	disagreement,self-government,power,land,ridge,assets,body_of_water,way,<empty>,conjecture-29.5-1	china,external_body_part,maritime,danger,opposition,conflict,danger,military_action
556	consideration,value,word,china,united_states,abstraction,washington,<empty>,<empty>,build-26.1-1	decision_making
557	operation,future_having-13.3,judgement-33	china,disagreement,cardinal_compass_point,china,south,china,body_of_water,instrumentality,military_action,plan_of_action,body,discussion,organization
558	military_action,united_states,acquisition,reproductive_structure,activity,person,china,admire-31.2-1	japan,safety,steadiness
559	china’sposition,content,<empty>,say-37.7-1,characterize-29.2-1,<empty>,answer	head,Mattis,adult
560	businessperson,liquid_body_substance,corporate_executive,assume,place_of_business,unit,rich_person,future_having-13.3,occurrence-48.3	United,administrative_district
561	enrollee,assessment-34,convert-26.6.2,amount,enrollee,examination,china,inquire-37.1.2,characterize-29.2-1,say-37.7-1	information,document,playing_card,management,decree,enrollee,examination,body,Cui,state
562	natural_object,military_action,digit,declare-29.4-1-1-2,water,building_complex,obtain-13.5.2	polity,Taiping,land
563	gathering,laos,time_period,clergyman,organization,compass_point,inhabitant,political_unit,remark,message,concept,south,china,body_of_water,mediation,happening,originate,philippines,political_unit,appear-48.1.1,message,chide,china,assertion,south,china,body_of_water	
564	united_states,ROK,characterize-29.2-1,run-51.3.2,future_having-13.3,crane-40.3.2,strain,land,worsen,china,safety,situation	
565	golf_stroke,influence,curiosity,happening,pocket-9.10,interrupt,forbid-67	average,happening,plan_of_action,direction,china,united_states,group_action
566	china,concept,military_installation,command,appear-48.1.1,china,may	strain
567	united_states,battle-36.4-1,reciprocality,political_unit,assets,curiosity,future_having-13.3,appear-48.1.1,admire-31.2	relation,time_period,group_action,emergence,quality,establish,quality
568	need,assets,possibility,political_unit,say-37.7-1,pocket-9.10,exist-47.1-1,exist-47.1-1,admire-31.2	time_period,trait,disagreement,time_period,native,financial_condition
569	future_having-13.3,china,united_states,conflict	communicable_disease,military_action,featuring,challenge
570	principle,Jinghua,lawman,administrator,status,administrative_unit,agency,Guangxi,tai,location,say-37.7-1,agreement,structure,consider-29.9-2,armored_vehicle,appoint-29.1,agreement,polity,group,group_action,future_having-13.3	group_action,plane_figure
571	correction,quality,assembly,prioritize,advocate,feeling,detail,concept,collection,tree,component,nonfiction	
572	sync,organization,compass_point,political_unit,degree,amalgamate-22.2-2,gathering,concentration,commerce,order,safety,location,future_having-13.3,declare-29.4-1-1-2	speech_act,hole,china,asia,person,customer
573	Donald,playing_card,vote,united_states,corporate_executive,entertainment,united_states,advantage,coalition,system,future_having-13.3,continue-55.3,other_cos-45.4,other_cos-45.4,neglect-75-1-1	Abe,procedure,destiny,direction,case,quality,united_states
574	time_period,quality,escape-51.1-1	Yukio,Hatoyama,information,japan,clergyman,gregorian_calendar_month
575	Duterte,meeting,finance,china,<empty>,appear-48.1.1,region,structure,line,road,port,airfield,say-37.7-1	Zhao,Jianhua,diplomat,philippines,philippines,instrumentality,weekday,anticipation
576	consider-29.9-2,armored_vehicle,conference,south,china,body_of_water,Regional,group_action,improvement,grasping,weekday,build-26.1-1	Zhao,clergyman,china,administrative_district,administrative_unit,message,place_of_business,statement,instrumentality,informing
577	foreign_policy,build-26.1-1,state,forbid-67	Zheng,telephone,united_states,change_of_state,disagreement
578	pocket-9.10,force-59-1,asian,say-37.7-1,china,person,broadcasting,conjecture-29.5-1,attribute,skilled_worker	Zhong,meeting,vietnam,respond,airfield
579	vietnam,organization,meeting,elite,activity	cooking_utensil,Jin'e,person,examination,secondary_school,communication,south,china,body_of_water,gathering,person
580	time_period,china,emerge,world’stop,commerce,nationhence,necessitate,conjecture-29.5-2,right,activity,assets	condition,commerce,finance,concentration
581	summing,education,scientific_research,agency,status,administrative_unit,build-26.1-1,transformation,gregorian_calendar_month,collection,Foreign,assets,undertaking,collection,Foreign,assets,body_part,undertaking,collection,Foreign,Contractual,body_part,undertaking,collection,activity,finance,taiwan,national,slope,improvement,maneuver,bring-11.3,scientific_research,aviator,commerce,topographic_point,collection,case,terminate,credibility,legal_document,choice	administrative_district,administrative_unit,submit,message
582	enrollee,assessment-34,convert-26.6.2,amount,enrollee,examination,china,inquire-37.1.2,characterize-29.2-1,say-37.7-1	information,document,playing_card,management,decree,enrollee,body,Cui,state
