	cause	effect
538	National,Congress,Communist,Party,China,expected,trip,results,trade,Korean,Peninsula,issues,China,envoy,Washington,said,Monday	US,President,Donald,Trump,state,visit,China,coming,moment
539	making,statement,Washington,DC,Jan	US,President,Donald,Trump,accompanied,US,Secretary,Defense,Jim,Mattis,left,walks,steps,Pentagon
540	Washington,ratified,Rome,Statute,signed,immunity,agreements,countries	US,soldiers,will,enjoy,immunity
541	President,Donald,Trump,blasted,Prime,Minister,Malcolm,Turnbull,phone,refugee,resettlement,agreement,president,Barack,Obama,made,countries	US,Australia,relations,took,hit,February
542	countries,region,agreed,resolve,disputes,China,dialogue	Using,freedom,navigation,operation,excuse,appears,situation,defused
543	Philippines,agreed,China,solve,issues	Vietnam,dredging,channel,reef,South,China,Sea,putting,risk,relaxation,tension
544	meeting,China,proposed,steps,discussing,COC	Wang,announced,press,briefing
545	World,War,II,assistance,US,government,China,restored,sovereignty,Nansha,Islands,used,occupied,Japan	Wang,said
546	arbitration,ruling	Wang,told,China,Daily,Tuesday,night,day,meetings,success,consensus,China,ASEAN,year,return,track,resolving,disputes,dialogue,consultation
547	peace,stability,development,themes,South,China,Sea	Wang,Wen,dean,think,tank,Chongyang,Institute,Financial,Studies,Renmin,University,China,said,safeguarding,sovereignty,mean,using,force
548	greed,capital,resources	Wars,occur,cycle
549	paid,millions,dollars,arbitrators	ruling,delivered,Manila,favor
550	right,dominate,reef	set,reef
551	Brexit,vote,tackling,climate,change,refugee,crisis	discussed,fighting,terrorism,pursuing,trade,agenda,order,create,jobs,moving
552	trip,hope,would,bring,messages,US	know,Secretary,Mattis,would,eye,eye,opportunity,report,President,Trump
553	anniversary,date,shame,coincided,nadir,ties	reason,anticipate,Japan,bashing,Sunday
554	goal,cooperation,peace,stability,development	should,make
555	disputes,sovereignty,jurisdiction,islands,reefs,resources,sea,lanes	should,realize,China,faces,maritime,threats,contradictions,frictions,threat,war
556	Weighing,importance,term,China,US,relations,Washington	could,should,make,choice
557	attacked	China,dispute,East,China,South,China,Seas,implement,defense,strategy,settlement,negotiations,parties,concerned,will,attack
558	war,US,gifts,fruits,efforts,neighbors,China	Japan,say,security,stability,enjoyed
559	China’spositions,issues	Secretary,Mattis,would,say,known,hosts,would,reply
560	businessman,cum,president,assumes,office,team,billionaires	will,happen,United,States
561	students,studying,growing,number,students,studying,China	asked,news,reports,Trump,administration,considered,banning,students,studying,universities,Cui,said,situation
562	World,War,II,found,freshwater,wells,plants	government,recovered,Taiping,Island
563	meeting,Laos,week,ministers,Association,Southeast,Asian,Nations,mention,statement,ruling,South,China,Sea,arbitration,case,initiated,Philippines,countries,came,statement,chiding,China,claims,South,China,Sea	
564	US,ROK,know,move,will,raise,tensions,Korean,Peninsula,worsen,China,security,environment	
565	driving,force,interests,change	means,incidents,policies,can,disrupt,trend,China,US,cooperation,stop
566	China,upholds,rule,based,order,insinuated,rising,China,may	tensions
567	US,argue,interdependence,nations,shared,interests,will	relationship,coming,decades,believe,conflict,rising,power,established,power
568	lack,resources,opportunities,country,said	can,wait,years,resolve,dispute,existed,decades,Filipinos,suffer,poverty
569	Will,China,US,friction	Cold,War,featuring,confrontation
570	Yang,Jinghua,deputy,director,Standing,Committee,NPC,Guangxi,Zhuang,region,said,consensus,building,think,tanks,promotes,consensus,governments,peoples,cooperation,will	cooperation,sectors
571	amendments,power,legislature,prioritizes,protectionist,sentiment,respect,rule,law,Beech,pointed,article	
572	sync,Association,Southeast,Asian,Nations,summit,related,meetings,focusing,enhanced,trade,peace,security,region	bid,pit,China,Asia,neighbors,will,find,takers
573	Donald,Trump,election,US,president,show,US,led,alliance,network,will,continue,decline,strengthen	Abe,calculation,doomed,fail,trend,times,uncertainty,US
574	year,power	Yukio,Hatoyama,example,resigned,Japan,minister,June
575	Duterte,visit,investment,China,would,rise,areas,infrastructure,railways,highways,seaports,airports	Zhao,Jianhua,ambassador,Philippines,told,Philippines,media,Friday,hoped
576	Think,Tank,Seminar,South,China,Sea,Regional,Cooperation,Development,held,Monday	Zhao,minister,China,State,Council,Information,Office,made,remarks,media,briefing
577	interference,made,situation	Zheng,called,US,stop,meddling,disputes
578	can,speak,Vietnamese,told,China,National,Radio,felt,qualities,officials	Zhong,visit,Vietnam,respond,airport
579	Vietnam,Party,conference,elected,leadership	Pan,Jin'e,expert,studies,academy,said,discussion,South,China,Sea,meeting,leaders
580	Century,China,emerged,world’stop,trading,nationhence,needs,ensure,access,markets,resources	facilitation,trade,investment,focus
581	summing,experience,experiments,NPC,Standing,Committee,made,revision,September,Law,Foreign,Capital,Enterprises,Law,Chinese,Foreign,Equity,Joint,Ventures,Law,Chinese,Foreign,Contractual,Joint,Ventures,Law,Protection,Investments,Taiwan,Compatriots,upgraded,reform,measures,taken,experiments,pilot,trade,zones,laws,time,terminated,validity,authorization,decisions	State,Council,submitted,proposal
582	students,studying,growing,number,students,studying,China	asked,news,reports,Trump,administration,considering,banning,students,universities,Cui,said,situation
